section offset:-60000 bpm:60
a MoveCamera Position 2 13 0 0 -2 easeinoutsine
section offset:0 bpm:60000
section offset:0 bpm:60000
section offset:0 bpm:60000
section offset:0 bpm:60000
section offset:0 bpm:60000
section offset:0 bpm:60000
section offset:0 bpm:60000
section offset:0 bpm:60000
section offset:0 bpm:60000
section offset:0 bpm:60000
section offset:0 bpm:60000
section offset:0 bpm:60000
section offset:0 bpm:120
a ChangeOpacity Trail lt 150.32 1.33 1 easeinoutsine
a ChangeOpacity Trail rt 150.32 1.33 1 easeinoutsine
section offset:114750 bpm:120
n long lt 0 1
n short rc 1
n short lc 1.5
n short lb 1.75
n short lt 2
n short lb 2.25
n long rt 3 4
n short lc 4
n short rc 4.5
n short rb 4.75
n short rt 5
n short rb 5.25
n short rc 5.5
n short rb 5.75
n long rt 6 7
n short lc 7
n short rc 7.5
n short rb 7.75
n short rt 8
n short rb 8.25
n long lt 9 10
n short rc 10
n short lc 10.5
n short lb 10.75
n short lt 11
n short lb 11.25
n short lc 11.5
n short lb 11.75
n long lt 12 13
n short rc 13
n short lc 13.5
n short lb 13.75
n short lt 14
n short lb 14.25
n long rt 15 16
n short lc 16
n short rc 16.5
n short rb 16.75
n short rt 17
n short rb 17.25
n short rc 17.5
n short rb 17.75
n long rt 18 19
n short lc 19
n short rc 19.5
n short rb 19.75
n short rt 20
n short rb 20.25
n short rc 20.5
n short rb 20.75
n long rt 21 21.75
n short lt 21.75
n short rc 22
n short lb 22.25
n short rt 22.5
n short lc 22.75
n short rb 23
n short lt 23.25
n short rc 23.5
n short lb 23.75
n long rt 24 24.5
n short rt 25
n short lt 25
n short lt 25.5
n short lb 25.75
n short lc 26
n short lb 26.25
n long lc 27 27.5
n short lt 28
n short rt 28
n short rt 28.5
n short rb 28.75
n short rc 29
n short rb 29.25
n short rt 29.5
n short rb 29.75
n long rc 30 30.5
n short rt 31
n short lt 31
n short lt 31.5
n short lb 31.75
n short lc 32
n short lb 32.25
n short lt 32.5
n short lb 32.75
n long lc 33 33.5
n short rt 34
n short lt 34
n short rt 34.5
n short rb 34.75
n short rc 35
n short rb 35.25
n short rt 35.5
n short rb 35.75
n long rc 36 36.5
n short lt 37
n short rt 37
n short lt 37.5
n short lb 37.75
n short lc 38
n short lb 38.25
n short lt 38.5
n short lb 38.75
n long lc 39 39.5
n short rt 40
n short lt 40
n short rt 40.5
n short rb 40.75
n short rc 41
n short rb 41.25
n short rt 41.5
n short rb 41.75
n long rc 42 42.5
n short lt 42.75
n short rt 42.75
n short rt 43
n short lt 43
n short lc 43.5
n short lb 43.75
n short lt 44
n short rc 44.25
n short rb 44.5
n short rt 44.75
n short rt 45
n short lb 45.5
n short rb 45.5
n short rb 45.75
n short lb 45.75
n short rc 46.25
n short rt 46.5
n short rb 46.75
n short lc 47
n short lt 47.25
n short lb 47.5
n swipe Out rc 48
n swipe Out lc 48
n short lt 51
n short lt 51.33
n short rc 51.66
n short lc 52
n long rt 52.5 54
n short lb 53.32
n short lb 53.57
n short lb 53.82
n short lb 54.07
n short rc 54.57
n short lt 54.82
n catch rt 56
n catch rc 56.125
n catch rb 56.25
a MoveCamera Angle 0 3 0 0 15 easeinoutsine
a ChangeOpacity Trail rt 0 3 0.75 easeinoutsine
a ChangeOpacity Trail rc 0 3 0.75 easeinoutsine
a ChangeOpacity Trail rb 0 3 0.75 easeinoutsine
a MoveCamera Position 0 3 0 0 0.6 easeinoutsine
a ChangeOpacity Trail lc 0 3 0.75 easeinoutsine
a ChangeOpacity Trail lt 0 3 0.75 easeinoutsine
a ChangeOpacity Trail lb 0 3 0.75 easeinoutsine
a ChangeOpacity Trail rt 3 3 1 easeinoutsine
a ChangeOpacity Trail lb 3 3 1 easeinoutsine
a ChangeOpacity Trail lt 3 3 1 easeinoutsine
a ChangeOpacity Trail rb 3 3 1 easeinoutsine
a ChangeOpacity Trail lc 3 3 1 easeinoutsine
a MoveCamera Angle 3 6 0 0 -30 easeinoutsine
a ChangeOpacity Trail rc 3 3 1 easeinoutsine
a MoveCamera Position 3 3 0 0 -0.6 easeinoutsine
a MoveCamera Position 6 3 0 0 0.6 easeinoutsine
a ChangeOpacity Trail lt 6 3 0.75 easeinoutsine
a ChangeOpacity Trail rt 6 3 0.75 easeinoutsine
a ChangeOpacity Trail rc 6 3 0.75 easeinoutsine
a ChangeOpacity Trail lb 6 3 0.75 easeinoutsine
a ChangeOpacity Trail rb 6 3 0.75 easeinoutsine
a ChangeOpacity Trail lc 6 3 0.75 easeinoutsine
a ChangeOpacity Trail lb 9 3 1 easeinoutsine
a MoveCamera Position 9 3 0 0 -0.6 easeinoutsine
a ChangeOpacity Trail rt 9 3 1 easeinoutsine
a ChangeOpacity Trail lt 9 3 1 easeinoutsine
a MoveCamera Angle 9 6 0 0 30 easeinoutsine
a ChangeOpacity Trail lc 9 3 1 easeinoutsine
a ChangeOpacity Trail rb 9 3 1 easeinoutsine
a ChangeOpacity Trail rc 9 3 1 easeinoutsine
a ChangeOpacity Trail lt 12 3 0.75 easeinoutsine
a MoveCamera Position 12 3 0 0 0.6 easeinoutsine
a ChangeOpacity Trail lb 12 3 0.75 easeinoutsine
a ChangeOpacity Trail rb 12 3 0.75 easeinoutsine
a ChangeOpacity Trail lc 12 3 0.75 easeinoutsine
a ChangeOpacity Trail rc 12 3 0.75 easeinoutsine
a ChangeOpacity Trail rt 12 3 0.75 easeinoutsine
a MoveCamera Angle 15 6 0 0 -30 easeinoutsine
a ChangeOpacity Trail lb 15 3 1 easeinoutsine
a ChangeOpacity Trail rb 15 3 1 easeinoutsine
a ChangeOpacity Trail lt 15 3 1 easeinoutsine
a ChangeOpacity Trail lc 15 3 1 easeinoutsine
a ChangeOpacity Trail rt 15 3 1 easeinoutsine
a MoveCamera Position 15 3 0 0 -0.6 easeinoutsine
a ChangeOpacity Trail rc 15 3 1 easeinoutsine
a ChangeOpacity Trail lt 18 3 0.75 easeinoutsine
a ChangeOpacity Trail rc 18 3 0.75 easeinoutsine
a ChangeOpacity Trail rb 18 3 0.75 easeinoutsine
a MoveCamera Position 18 3 0 0 0.6 easeinoutsine
a ChangeOpacity Trail lc 18 3 0.75 easeinoutsine
a ChangeOpacity Trail rt 18 3 0.75 easeinoutsine
a ChangeOpacity Trail lb 18 3 0.75 easeinoutsine
a MoveCamera Angle 21 6 0 0 30 easeinoutsine
a ChangeOpacity Trail rc 21 3 1 easeinoutsine
a ChangeOpacity Trail rb 21 3 1 easeinoutsine
a ChangeOpacity Trail rt 21 3 1 easeinoutsine
a ChangeOpacity Trail lc 21 3 1 easeinoutsine
a MoveCamera Position 21 3 0 0 -0.6 easeinoutsine
a ChangeOpacity Trail lb 21 3 1 easeinoutsine
a ChangeOpacity Trail lt 21 3 1 easeinoutsine
a ChangeOpacity Trail rt 24 3 0.75 easeinoutsine
a ChangeOpacity Trail rc 24 3 0.75 easeinoutsine
a ChangeOpacity Trail lt 24 3 0.75 easeinoutsine
a ChangeOpacity Trail lb 24 3 0.75 easeinoutsine
a ChangeOpacity Trail rb 24 3 0.75 easeinoutsine
a ChangeOpacity Trail lc 24 3 0.75 easeinoutsine
a MoveCamera Position 24 3 0 0 0.6 easeinoutsine
a ChangeOpacity Trail rt 27 3 1 easeinoutsine
a ChangeOpacity Trail rb 27 3 1 easeinoutsine
a ChangeOpacity Trail lb 27 3 1 easeinoutsine
a ChangeOpacity Trail rc 27 3 1 easeinoutsine
a ChangeOpacity Trail lc 27 3 1 easeinoutsine
a ChangeOpacity Trail lt 27 3 1 easeinoutsine
a MoveCamera Angle 27 6 0 0 -30 easeinoutsine
a MoveCamera Position 27 3 0 0 -0.6 easeinoutsine
a ChangeOpacity Trail rt 30 3 0.75 easeinoutsine
a ChangeOpacity Trail lc 30 3 0.75 easeinoutsine
a MoveCamera Position 30 3 0 0 0.6 easeinoutsine
a ChangeOpacity Trail lb 30 3 0.75 easeinoutsine
a ChangeOpacity Trail rc 30 3 0.75 easeinoutsine
a ChangeOpacity Trail lt 30 3 0.75 easeinoutsine
a ChangeOpacity Trail rb 30 3 0.75 easeinoutsine
a MoveCamera Position 33 3 0 0 -0.6 easeinoutsine
a ChangeOpacity Trail lc 33 3 1 easeinoutsine
a ChangeOpacity Trail lt 33 3 1 easeinoutsine
a ChangeOpacity Trail rb 33 3 1 easeinoutsine
a MoveCamera Angle 33 6 0 0 30 easeinoutsine
a ChangeOpacity Trail lb 33 3 1 easeinoutsine
a ChangeOpacity Trail rc 33 3 1 easeinoutsine
a ChangeOpacity Trail rt 33 3 1 easeinoutsine
a ChangeOpacity Trail rt 36 3 0.75 easeinoutsine
a ChangeOpacity Trail rb 36 3 0.75 easeinoutsine
a ChangeOpacity Trail lb 36 3 0.75 easeinoutsine
a ChangeOpacity Trail lt 36 3 0.75 easeinoutsine
a ChangeOpacity Trail lc 36 3 0.75 easeinoutsine
a ChangeOpacity Trail rc 36 3 0.75 easeinoutsine
a MoveCamera Position 36 3 0 0 0.6 easeinoutsine
a ChangeOpacity Trail lt 39 3 1 easeinoutsine
a ChangeOpacity Trail rb 39 3 1 easeinoutsine
a MoveCamera Angle 39 6 0 0 -30 easeinoutsine
a MoveCamera Position 39 3 0 0 -0.6 easeinoutsine
a ChangeOpacity Trail rt 39 3 1 easeinoutsine
a ChangeOpacity Trail lc 39 3 1 easeinoutsine
a ChangeOpacity Trail lb 39 3 1 easeinoutsine
a ChangeOpacity Trail rc 39 3 1 easeinoutsine
a ChangeOpacity Trail lt 42 3 0.75 easeinoutsine
a ChangeOpacity Trail rt 42 3 0.75 easeinoutsine
a ChangeOpacity Trail rc 42 3 0.75 easeinoutsine
a ChangeOpacity Trail lb 42 3 0.75 easeinoutsine
a MoveCamera Position 42 3 0 0 0.6 easeinoutsine
a ChangeOpacity Trail lc 42 3 0.75 easeinoutsine
a ChangeOpacity Trail rb 42 3 0.75 easeinoutsine
a ChangeOpacity Trail lb 45 3 1 easeinoutsine
a ChangeOpacity Trail lt 45 3 1 easeinoutsine
a ChangeOpacity Trail lc 45 3 1 easeinoutsine
a ChangeOpacity Trail rc 45 3 1 easeinoutsine
a ChangeOpacity Trail rb 45 3 1 easeinoutsine
a ChangeOpacity Trail rt 45 3 1 easeinoutsine
a MoveCamera Angle 45 3 0 0 15 easeinoutsine
a MoveCamera Position 45 3 0 0 -0.6 easeinoutsine
a MoveCamera Position 48 3 0 0 0.6 easeinoutsine
a ChangeOpacity Trail rc 56 5 0 easeinoutsine
a ChangeOpacity Trail lt 56 5 0 easeinoutsine
a ChangeOpacity Trail lc 56 5 0 easeinoutsine
a ChangeOpacity Trail rb 56 5 0 easeinoutsine
a MoveCamera Angle 56 10 0 0 50 easeinoutsine
a ChangeOpacity Trail lb 56 5 0 easeinoutsine
a ChangeOpacity Trail rt 56 5 0 easeinoutsine
a MoveCamera Position 56 10 0 0 -1.5 easeinoutsine
define StagePosition 5disappearexceptrc -16.65,20.35,0 0,0,240 2.7,0,0 0,0,180 -16.65,-20.35,0 0,0,120 -20.35,-20.35,0 0,0,60 -20.7,0,0 0,0,0 -21.35,21.35,0 0,0,300
define StagePosition stage1 2.35,4.35,1.5 -20,-40,210 2.7,0,1 0,0,180 2.35,-4.35,1.5 20,-40,150 100,-2.35,0 0,0,60 100,0,0 0,0,0 100,2.35,0 0,0,300
define StagePosition stage2 2.35,4.35,1.5 -20,-40,210 2.7,0,0 0,0,180 2.35,-4.35,1.5 20,-40,150 2.35,-17.35,1.5 20,-40,150 100,0,0 0,0,0 2.35,17.35,1.5 -20,-40,210
define StagePosition six 2,2,0 0,0,225 2.8,0,0 0,0,180 2,-2,0 0,0,135 -2,-2,0 0,0,45 -2.8,0,0 0,0,0 -2,2,0 0,0,315
